"#","Quantity","Type","Value","PartNumber","RefDes"
"1","3","JP3","","","1WACC, JP2, JP3"
"2","2","RJ12","","A-2014-1-4-R","1WIRE1, 1WIRE2"
"3","1","CAP_0805","1u","C2012X7S2A105K","C1"
"4","6","CAP_0805","0.1u","C0805C104K3RACTU","C2, C3, C9, C10, C12, C13"
"5","1","CAP_0805","10u TANT","399-3684-1","C11"
"6","1","JP6","","","JP1"
"7","2","TERM2","","282841-2","P1, P2"
"8","1","RES_1206",".02","LVK24R020DER","R1"
"9","2","RES_0805","0.30","311-.30SCT","R2, R5"
"10","1","RES_0805","1M","RMCF0805FT1M00CT","R7"
"11","1","DS2756E+","","DS2756E+","U1"
"12","1","AD849x","","AD8495ARMZ","U2"
"","22","","","",""
