"#","Quantity","Type","Value","PartNumber","RefDes"
"1","1","JP3","","","1WACC"
"2","2","RJ12","","A-2014-1-4-R","1WIRE1, 1WIRE2"
"3","1","CAP_0805","1u","C2012X7S2A105K","C1"
"4","1","CAP_0805","0.1u","C0805C104K3RACTU","C2"
"5","1","1N4007","","S1M-FDICT","D1"
"6","1","TERM2","","","INPUT"
"7","1","JP6","","","JP1"
"8","1","LED","GRN 2.2V 10mA","WP7113GD","LED1"
"9","1","LED","ORG 2V 10mA","SLR-56DC3F","LED2"
"10","3","TERM3","","","OUTPUT1, OUTPUT2, P1"
"11","1","DDTA113","","DDTA113ZCA-7-F","Q4"
"12","1","RES_0805","200","RMCF0805FT200R","R1"
"13","1","RES_0805","120","ERJ-6ENF1200V","R2"
"14","1","RES_0805","1k 1/4W","RNCP0805FTD1K00","R3"
"15","1","RT2","","RT424524","RLY1"
"16","1","RT1","","RT424012","RLY2"
"17","1","DS2413","","DS2413P+","U2"
"","20","","","",""
