"RefDes","Value","Quantity","PartNumber"
"1WACC","","1",""
"1WIRE1","","1","A-2014-1-4-R"
"1WIRE2","","1","A-2014-1-4-R"
"24VAC","","1","282841-2"
"24VAC1","","1","282841-2"
"AUX","","8","282841-3"
"BOX1","","1","TL412CP"
"C1","1u","1","C2012X7S2A105K"
"C2","0.1u","1","C0805C104K3RACTU"
"D3","","1","S1M-FDICT"
"D4","","1","S1M-FDICT"
"DEMAND","","1","282841-2"
"ESW","","8","282841-2"
"INPUTA","","1",""
"INPUTB","","1",""
"LED1","GRN 2.2V 10mA","1","WP7113GD"
"LED2","GRN 2.2V 10mA","1","WP7113GD"
"LED3","ORG 2V 10mA","1","SLR-56DC3F"
"LED4","ORG 2V 10mA","1","SLR-56DC3F"
"OUT1A","","1",""
"OUT1B","","1",""
"OUT2A","","1",""
"OUT2B","","1",""
"P1","","1",""
"P2","","1",""
"Q2","","1","DDTA113ZCA-7-F"
"Q3","","1","DDTA113ZCA-7-F"
"R1","1k 1/4W","1","RNCP0805FTD1K00"
"R2","120","1","ERJ-6ENF1200V"
"R3","120","1","ERJ-6ENF1200V"
"R4","1k 1/4W","1","RNCP0805FTD1K00"
"R5","200","1","RMCF0805FT200R"
"R6","200","1","RMCF0805FT200R"
"RLY1","","1",""
"RLY2","","1","RT424012"
"RLY3","","1","RT424524"
"RLY4","","1","RT424524"
"RLY6","","8",""
"TB","","8","282841-3"
"TT","","8","282841-3"
"U1","","1","DS2413P+"
"U2","","1","DS2413P+"
"ZONE","","8","282841-2"
"ZPWR","","1","282841-2"
"ZPWR1","","1","282841-2"
