"#","Quantity","Type","Value","PartNumber"
"1","33","TERM2","","282841-2"
"2","9","SOURCEAC","",""
"3","1","TL412CP","","TL412CP"
"4","4","CAP_0805","0.1u","C0805C104K3RACTU"
"5","1","CAP_0805","1u","C2012X7S2A105K"
"6","8","LED 5mm","ORANGE","SLR-56DC3F"
"7","8","1N4007","","S1M-FDICT"
"8","8","1N4099","","1SMA5913BT3G"
"9","8","LED 5mm","GREEN","WP7113GD"
"10","1","JUMPER","",""
"11","1","RJ12","","A-2014-1-4-R"
"12","16","RES","0","RMCF0805ZT0R00"
"13","8","MOV","47V","S07K30"
"14","16","DDTC113","","DDTC113ZUA-7-F"
"15","2","RES_0805","120","CRCW0805120RFKEA"
"16","16","RES_0805","330","RMCF0805FT330R"
"17","8","IM03","","PB1094"
"18","8","RT2","","RT424524"
"19","1","MAX13432E","","MAX13432EESD+"
"20","1","TEENSY2.0","",""
"","158","","",""
